"Step","Group: text10-vision0 - evaluation/blimp/binding","Group: text10-vision0 - evaluation/blimp/binding__MIN","Group: text10-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision0 - evaluation/blimp/binding","Group: text1-vision0 - evaluation/blimp/binding__MIN","Group: text1-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision100 - evaluation/blimp/binding","Group: text1-vision100 - evaluation/blimp/binding__MIN","Group: text1-vision100 - evaluation/blimp/binding__MAX","Group: text1-vision10 - evaluation/blimp/binding","Group: text1-vision10 - evaluation/blimp/binding__MIN","Group: text1-vision10 - evaluation/blimp/binding__MAX","Group: text1-vision1 - evaluation/blimp/binding","Group: text1-vision1 - evaluation/blimp/binding__MIN","Group: text1-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision1 - evaluation/blimp/binding","Group: text10-vision1 - evaluation/blimp/binding__MIN","Group: text10-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision10 - evaluation/blimp/binding","Group: text10-vision10 - evaluation/blimp/binding__MIN","Group: text10-vision10 - evaluation/blimp/binding__MAX","Group: text10-vision100 - evaluation/blimp/binding","Group: text10-vision100 - evaluation/blimp/binding__MIN","Group: text10-vision100 - evaluation/blimp/binding__MAX"
"5215","","","","","","","60.72999954223633","60.72999954223633","60.72999954223633","60.08000183105469","60.08000183105469","60.08000183105469","","","","62.9900016784668","62.9900016784668","62.9900016784668","","","","","",""
"5216","","","","","","","","","","","","","","","","","","","63.880001068115234","63.880001068115234","63.880001068115234","63.08000183105469","63.08000183105469","63.08000183105469"
"5262","63.76499938964844","59.040000915527344","68.48999786376953","61.16499900817871","59.56999969482422","62.7599983215332","","","","","","","","","","","","","","","","","",""
"5263","62.45000076293945","62.45000076293945","62.45000076293945","","","","","","","","","","","","","","","","","","","","",""
"5264","","","","62.7599983215332","62.7599983215332","62.7599983215332","","","","","","","","","","","","","","","","","",""
"5346","","","","","","","","","","","","","60.11000061035156","60.11000061035156","60.11000061035156","","","","","","","","",""
"5394","63.665000915527344","61.290000915527344","66.04000091552734","59.619998931884766","59.619998931884766","59.619998931884766","","","","","","","","","","","","","","","","","",""
"5395","65.76000213623047","65.76000213623047","65.76000213623047","","","","","","","","","","","","","","","","","","","","",""
"5417","","","","","","","59.599998474121094","59.599998474121094","59.599998474121094","57.75","57.75","57.75","","","","64.68000030517578","64.68000030517578","64.68000030517578","","","","","",""
"5418","","","","","","","","","","","","","","","","","","","64.80000305175781","64.80000305175781","64.80000305175781","66.80000305175781","66.80000305175781","66.80000305175781"
"5548","","","","","","","","","","","","","58.849998474121094","58.849998474121094","58.849998474121094","","","","","","","","",""
"5554","","","","","","","61.209999084472656","61.209999084472656","61.209999084472656","57.45000076293945","57.45000076293945","57.45000076293945","","","","62.779998779296875","62.779998779296875","62.779998779296875","","","","","",""
"5555","","","","","","","","","","","","","","","","","","","64.22000122070312","64.22000122070312","64.22000122070312","66.36000061035156","66.36000061035156","66.36000061035156"
"5591","64.35999870300293","62.22999954223633","66.48999786376953","","","","","","","","","","","","","","","","","","","","",""
"5592","64.62000274658203","64.62000274658203","64.62000274658203","","","","","","","","","","","","","","","","","","","","",""
"5685","","","","","","","","","","","","","59.68000030517578","59.68000030517578","59.68000030517578","","","","","","","","",""
"5723","63.86499786376953","60.88999938964844","66.83999633789062","","","","","","","","","","","","","","","","","","","","",""
"5724","64","64","64","","","","","","","","","","","","","","","","","","","","",""
"5756","","","","","","","61.5","61.5","61.5","58.81999969482422","58.81999969482422","58.81999969482422","","","","63.58000183105469","63.58000183105469","63.58000183105469","","","","","",""
"5757","","","","","","","","","","","","","","","","","","","64.58999633789062","64.58999633789062","64.58999633789062","62.380001068115234","62.380001068115234","62.380001068115234"
"5887","","","","","","","","","","","","","59.0099983215332","59.0099983215332","59.0099983215332","","","","","","","","",""
"5893","","","","","","","57.810001373291016","57.810001373291016","57.810001373291016","58.099998474121094","58.099998474121094","58.099998474121094","","","","64.87000274658203","64.87000274658203","64.87000274658203","","","","","",""
"5894","","","","","","","","","","","","","","","","","","","63.41999816894531","63.41999816894531","63.41999816894531","65.08999633789062","65.08999633789062","65.08999633789062"
"5920","66.79000091552734","65.43000030517578","68.1500015258789","","","","","","","","","","","","","","","","","","","","",""
"5921","64.69000244140625","64.69000244140625","64.69000244140625","","","","","","","","","","","","","","","","","","","","",""
"6024","","","","","","","","","","","","","62.790000915527344","62.790000915527344","62.790000915527344","","","","","","","","",""
"6052","65.70999908447266","64","67.41999816894531","","","","","","","","","","","","","","","","","","","","",""
"6053","66.86000061035156","66.86000061035156","66.86000061035156","","","","","","","","","","","","","","","","","","","","",""
