"trainer/global_step","Group: text10-vision0 - _step","Group: text10-vision0 - _step__MIN","Group: text10-vision0 - _step__MAX","Group: text10-vision0 - evaluation/blimp_average","Group: text10-vision0 - evaluation/blimp_average__MIN","Group: text10-vision0 - evaluation/blimp_average__MAX","Group: text10-vision1 - _step","Group: text10-vision1 - _step__MIN","Group: text10-vision1 - _step__MAX","Group: text10-vision1 - evaluation/blimp_average","Group: text10-vision1 - evaluation/blimp_average__MIN","Group: text10-vision1 - evaluation/blimp_average__MAX","Group: text10-vision100 - _step","Group: text10-vision100 - _step__MIN","Group: text10-vision100 - _step__MAX","Group: text10-vision100 - evaluation/blimp_average","Group: text10-vision100 - evaluation/blimp_average__MIN","Group: text10-vision100 - evaluation/blimp_average__MAX","Group: text10-vision10 - _step","Group: text10-vision10 - _step__MIN","Group: text10-vision10 - _step__MAX","Group: text10-vision10 - evaluation/blimp_average","Group: text10-vision10 - evaluation/blimp_average__MIN","Group: text10-vision10 - evaluation/blimp_average__MAX"
"9124","11974.5","11974","11975","70.8849983215332","70.62249755859375","71.14749908447266","13284","13284","13284","71.23500061035156","71.23500061035156","71.23500061035156","13288","13288","13288","69.79666900634766","69.79666900634766","69.79666900634766","12881","12881","12881","69.91666412353516","69.91666412353516","69.91666412353516"
"9249","12171.5","12171","12172","71.09416580200195","70.87833404541016","71.30999755859375","13486","13486","13486","71.30249786376953","71.30249786376953","71.30249786376953","13490","13490","13490","70.53083038330078","70.53083038330078","70.53083038330078","13083","13083","13083","69.89167022705078","69.89167022705078","69.89167022705078"
"9374","12303.5","12303","12304","70.84541702270508","70.09083557128906","71.5999984741211","13623","13623","13623","71.36000061035156","71.36000061035156","71.36000061035156","13627","13627","13627","70.1241683959961","70.1241683959961","70.1241683959961","13220","13220","13220","70.46833038330078","70.46833038330078","70.46833038330078"
"9499","12500.5","12500","12501","71.60125350952148","71.3550033569336","71.84750366210938","13825","13825","13825","71.85333251953125","71.85333251953125","71.85333251953125","13829","13829","13829","70.25333404541016","70.25333404541016","70.25333404541016","13422","13422","13422","70.88916778564453","70.88916778564453","70.88916778564453"
"9624","12632.5","12632","12633","71.4283332824707","71.18583679199219","71.67082977294922","13962","13962","13962","71.1675033569336","71.1675033569336","71.1675033569336","13966","13966","13966","70.2699966430664","70.2699966430664","70.2699966430664","13559","13559","13559","70.33833312988281","70.33833312988281","70.33833312988281"
"9749","12829.5","12829","12830","71.18333053588867","70.90166473388672","71.46499633789062","14164","14164","14164","71.03083038330078","71.03083038330078","71.03083038330078","14168","14168","14168","70.37999725341797","70.37999725341797","70.37999725341797","13761","13761","13761","70.30333709716797","70.30333709716797","70.30333709716797"
"9874","12961.5","12961","12962","71.25333404541016","71.1691665649414","71.3375015258789","14301","14301","14301","71.40249633789062","71.40249633789062","71.40249633789062","14305","14305","14305","70.67082977294922","70.67082977294922","70.67082977294922","13898","13898","13898","71.06083679199219","71.06083679199219","71.06083679199219"
"9999","13158.5","13158","13159","71.53499984741211","71.44416809082031","71.6258316040039","14503","14503","14503","71.5683364868164","71.5683364868164","71.5683364868164","14507","14507","14507","70.38749694824219","70.38749694824219","70.38749694824219","14100","14100","14100","70.82416534423828","70.82416534423828","70.82416534423828"
"10124","13290.5","13290","13291","71.24124908447266","70.77916717529297","71.70333099365234","14640","14640","14640","71.83499908447266","71.83499908447266","71.83499908447266","14644","14644","14644","70.22000122070312","70.22000122070312","70.22000122070312","14237","14237","14237","71.71083068847656","71.71083068847656","71.71083068847656"
"10249","13487.5","13487","13488","71.15791702270508","70.55000305175781","71.76583099365234","14842","14842","14842","71.47916412353516","71.47916412353516","71.47916412353516","14846","14846","14846","70.14250183105469","70.14250183105469","70.14250183105469","14439","14439","14439","70.73833465576172","70.73833465576172","70.73833465576172"
