"trainer/global_step","Group: text10-vision0 - _step","Group: text10-vision0 - _step__MIN","Group: text10-vision0 - _step__MAX","Group: text10-vision0 - evaluation/pseudo_perplexity","Group: text10-vision0 - evaluation/pseudo_perplexity__MIN","Group: text10-vision0 - evaluation/pseudo_perplexity__MAX","Group: text10-vision1 - _step","Group: text10-vision1 - _step__MIN","Group: text10-vision1 - _step__MAX","Group: text10-vision1 - evaluation/pseudo_perplexity","Group: text10-vision1 - evaluation/pseudo_perplexity__MIN","Group: text10-vision1 - evaluation/pseudo_perplexity__MAX","Group: text10-vision100 - _step","Group: text10-vision100 - _step__MIN","Group: text10-vision100 - _step__MAX","Group: text10-vision100 - evaluation/pseudo_perplexity","Group: text10-vision100 - evaluation/pseudo_perplexity__MIN","Group: text10-vision100 - evaluation/pseudo_perplexity__MAX","Group: text10-vision10 - _step","Group: text10-vision10 - _step__MIN","Group: text10-vision10 - _step__MAX","Group: text10-vision10 - evaluation/pseudo_perplexity","Group: text10-vision10 - evaluation/pseudo_perplexity__MIN","Group: text10-vision10 - evaluation/pseudo_perplexity__MAX"
"5124","6710.5","6710","6711","10.40965461730957","10.406986236572266","10.412322998046875","6911","6911","6911","11.79606819152832","11.79606819152832","11.79606819152832","6911","6911","6911","17.169422149658203","17.169422149658203","17.169422149658203","6911","6911","6911","16.468856811523438","16.468856811523438","16.468856811523438"
"5249","6907.5","6907","6908","10.260790824890137","10.257545471191406","10.264036178588867","7113","7113","7113","11.636197090148926","11.636197090148926","11.636197090148926","7113","7113","7113","16.993566513061523","16.993566513061523","16.993566513061523","7113","7113","7113","16.034685134887695","16.034685134887695","16.034685134887695"
"5374","7039.5","7039","7040","10.066459655761719","10.056310653686523","10.076608657836914","7250","7250","7250","11.506237030029297","11.506237030029297","11.506237030029297","7250","7250","7250","16.562068939208984","16.562068939208984","16.562068939208984","7250","7250","7250","15.824811935424805","15.824811935424805","15.824811935424805"
"5499","7236.5","7236","7237","9.92077350616455","9.908878326416016","9.932668685913086","7452","7452","7452","11.329290390014648","11.329290390014648","11.329290390014648","7452","7452","7452","16.28435516357422","16.28435516357422","16.28435516357422","7452","7452","7452","15.664377212524414","15.664377212524414","15.664377212524414"
"5624","7368.5","7368","7369","9.809895992279053","9.803922653198242","9.815869331359863","7589","7589","7589","11.190019607543945","11.190019607543945","11.190019607543945","7589","7589","7589","16.14032554626465","16.14032554626465","16.14032554626465","7589","7589","7589","15.384529113769531","15.384529113769531","15.384529113769531"
"5749","7565.5","7565","7566","9.660049438476562","9.618470191955566","9.701628684997559","7791","7791","7791","11.08131217956543","11.08131217956543","11.08131217956543","7791","7791","7791","15.787877082824707","15.787877082824707","15.787877082824707","7791","7791","7791","15.188424110412598","15.188424110412598","15.188424110412598"
"5874","7697.5","7697","7698","9.544413566589355","9.518238067626953","9.570589065551758","7928","7928","7928","10.904006004333496","10.904006004333496","10.904006004333496","7928","7928","7928","15.66537094116211","15.66537094116211","15.66537094116211","7928","7928","7928","15.06326961517334","15.06326961517334","15.06326961517334"
"5999","7894.5","7894","7895","9.448152542114258","9.446666717529297","9.449638366699219","8130","8130","8130","10.814239501953125","10.814239501953125","10.814239501953125","8130","8130","8130","15.39078140258789","15.39078140258789","15.39078140258789","8130","8130","8130","14.828474044799805","14.828474044799805","14.828474044799805"
"6124","8026.5","8026","8027","9.335153579711914","9.314191818237305","9.356115341186523","8267","8267","8267","10.782510757446289","10.782510757446289","10.782510757446289","8267","8267","8267","15.249998092651367","15.249998092651367","15.249998092651367","8267","8267","8267","14.65567398071289","14.65567398071289","14.65567398071289"
"6249","8223.5","8223","8224","9.27018690109253","9.246037483215332","9.294336318969727","8469","8469","8469","10.618633270263672","10.618633270263672","10.618633270263672","8469","8469","8469","14.933796882629395","14.933796882629395","14.933796882629395","8469","8469","8469","14.497125625610352","14.497125625610352","14.497125625610352"
