"Step","Group: text1-vision100 - evaluation/blimp/irregular_forms","Group: text1-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision100 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision10 - evaluation/blimp/irregular_forms","Group: text1-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision10 - evaluation/blimp/irregular_forms","Group: text10-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision100 - evaluation/blimp/irregular_forms","Group: text10-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision100 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision1 - evaluation/blimp/irregular_forms","Group: text1-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision1 - evaluation/blimp/irregular_forms","Group: text10-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision0 - evaluation/blimp/irregular_forms","Group: text10-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision0 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision0 - evaluation/blimp/irregular_forms","Group: text1-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision0 - evaluation/blimp/irregular_forms__MAX"
"3569","","","","","","","","","","","","","","","","","","","79.48999786376953","79.48999786376953","79.48999786376953","","",""
"3595","","","","","","","","","","79.80000305175781","79.80000305175781","79.80000305175781","","","","","","","","","","","",""
"3597","75.9800033569336","75.9800033569336","75.9800033569336","78.22000122070312","78.22000122070312","78.22000122070312","","","","","","","","","","","","","","","","","",""
"3612","","","","","","","","","","","","","","","","","","","","","","82.38999938964844","82.38999938964844","82.38999938964844"
"3617","","","","","","","","","","","","","81.83000183105469","81.83000183105469","81.83000183105469","","","","","","","","",""
"3674","","","","","","","","","","","","","","","","78.5199966430664","78.5199966430664","78.5199966430664","","","","","",""
"3688","","","","","","","78.0199966430664","78.0199966430664","78.0199966430664","","","","","","","","","","","","","","",""
"3743","","","","","","","","","","","","","","","","","","","78.06999969482422","78.06999969482422","78.06999969482422","","",""
"3748","76.12999725341797","76.12999725341797","76.12999725341797","77.76000213623047","77.76000213623047","77.76000213623047","","","","","","","","","","","","","","","","","",""
"3774","","","","","","","","","","83","83","83","","","","","","","","","","","",""
"3781","","","","","","","84.2699966430664","84.2699966430664","84.2699966430664","","","","","","","","","","","","","","",""
"3786","","","","","","","","","","","","","","","","","","","","","","80.19999694824219","80.19999694824219","80.19999694824219"
"3796","","","","","","","","","","","","","77.76000213623047","77.76000213623047","77.76000213623047","","","","","","","","",""
"3853","","","","","","","","","","","","","","","","79.33999633789062","79.33999633789062","79.33999633789062","","","","","",""
"3917","","","","","","","","","","","","","","","","","","","77.76000213623047","77.76000213623047","77.76000213623047","","",""
"3935","75.31999969482422","75.31999969482422","75.31999969482422","78.83000183105469","78.83000183105469","78.83000183105469","","","","","","","","","","","","","","","","","",""
"3949","","","","","","","","","","","","","80.61000061035156","80.61000061035156","80.61000061035156","","","","","","","","",""
"3953","","","","","","","","","","82.8499984741211","82.8499984741211","82.8499984741211","","","","","","","","","","","",""
"3960","","","","","","","83.81999969482422","83.81999969482422","83.81999969482422","","","","","","","","","","","","","81.62999725341797","81.62999725341797","81.62999725341797"
"4032","","","","","","","","","","","","","","","","78.22000122070312","78.22000122070312","78.22000122070312","","","","","",""
"4046","","","","","","","","","","82.94999694824219","82.94999694824219","82.94999694824219","","","","","","","","","","","",""
"4068","","","","","","","","","","","","","79.8499984741211","79.8499984741211","79.8499984741211","","","","","","","","",""
"4086","76.54000091552734","76.54000091552734","76.54000091552734","78.2699966430664","78.2699966430664","78.2699966430664","","","","","","","","","","","","","","","","","",""
"4091","","","","","","","","","","","","","","","","","","","80","80","80","","",""
"4134","","","","","","","","","","","","","","","","","","","","","","76.83999633789062","76.83999633789062","76.83999633789062"
"4139","","","","","","","83.61000061035156","83.61000061035156","83.61000061035156","","","","","","","","","","","","","","",""
"4179","","","","","","","","","","","","","","","","","","","78.5199966430664","78.5199966430664","78.5199966430664","","",""
"4211","","","","","","","","","","","","","","","","82.13999938964844","82.13999938964844","82.13999938964844","","","","","",""
"4225","","","","","","","","","","82.5999984741211","82.5999984741211","82.5999984741211","","","","","","","","","","","",""
"4247","","","","","","","","","","","","","78.0199966430664","78.0199966430664","78.0199966430664","","","","","","","","",""
"4273","76.83999633789062","76.83999633789062","76.83999633789062","77.95999908447266","77.95999908447266","77.95999908447266","","","","","","","","","","","","","","","","","",""
"4304","","","","","","","","","","","","","","","","80.91999816894531","80.91999816894531","80.91999816894531","","","","","",""
"4308","","","","","","","","","","","","","","","","","","","","","","75.11000061035156","75.11000061035156","75.11000061035156"
"4318","","","","","","","84.43000030517578","84.43000030517578","84.43000030517578","","","","","","","","","","","","","","",""
"4353","","","","","","","","","","","","","","","","","","","78.12000274658203","78.12000274658203","78.12000274658203","","",""
"4404","","","","","","","","","","83.51000213623047","83.51000213623047","83.51000213623047","","","","","","","","","","","",""
"4424","74.5","74.5","74.5","78.2699966430664","78.2699966430664","78.2699966430664","","","","","","","","","","","","","","","","","",""
"4426","","","","","","","","","","","","","75.66999816894531","75.66999816894531","75.66999816894531","","","","","","","","",""
"4439","","","","","","","","","","","","","","","","","","","","","","79.02999877929688","79.02999877929688","79.02999877929688"
"4483","","","","","","","","","","","","","","","","82.6500015258789","82.6500015258789","82.6500015258789","","","","","",""
