"Step","Group: text10-vision10 - evaluation/blimp/npi_licensing","Group: text10-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision100 - evaluation/blimp/npi_licensing","Group: text10-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision100 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision100 - evaluation/blimp/npi_licensing","Group: text1-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision100 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision10 - evaluation/blimp/npi_licensing","Group: text1-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision1 - evaluation/blimp/npi_licensing","Group: text1-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision1 - evaluation/blimp/npi_licensing","Group: text10-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision0 - evaluation/blimp/npi_licensing","Group: text10-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision0 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision0 - evaluation/blimp/npi_licensing","Group: text1-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision0 - evaluation/blimp/npi_licensing__MAX"
"2865","","","","","","","","","","","","","","","","54.25","54.25","54.25","","","","","",""
"2873","","","","","","","","","","","","","","","","","","","54.310001373291016","54.310001373291016","54.310001373291016","","",""
"2879","","","","52.4900016784668","52.4900016784668","52.4900016784668","","","","","","","","","","","","","","","","","",""
"2885","","","","","","","52.380001068115234","52.380001068115234","52.380001068115234","52.72999954223633","52.72999954223633","52.72999954223633","","","","","","","","","","","",""
"2901","","","","","","","","","","","","","53.65999984741211","53.65999984741211","53.65999984741211","","","","","","","","",""
"2958","","","","","","","","","","","","","","","","53.9900016784668","53.9900016784668","53.9900016784668","","","","","",""
"2959","","","","","","","","","","","","","","","","","","","","","","54.2400016784668","54.2400016784668","54.2400016784668"
"2972","56.130001068115234","56.130001068115234","56.130001068115234","","","","","","","","","","","","","","","","","","","","",""
"3047","","","","","","","","","","","","","","","","","","","52.31999969482422","52.31999969482422","52.31999969482422","","",""
"3058","","","","51.529998779296875","51.529998779296875","51.529998779296875","","","","","","","","","","","","","","","","","",""
"3072","","","","","","","46.45000076293945","46.45000076293945","46.45000076293945","49.529998779296875","49.529998779296875","49.529998779296875","","","","","","","","","","","",""
"3080","","","","","","","","","","","","","53.4900016784668","53.4900016784668","53.4900016784668","","","","","","","","",""
"3133","","","","","","","","","","","","","","","","","","","","","","53.22999954223633","53.22999954223633","53.22999954223633"
"3137","","","","","","","","","","","","","","","","52.720001220703125","52.720001220703125","52.720001220703125","","","","","",""
"3151","56.83000183105469","56.83000183105469","56.83000183105469","","","","","","","","","","","","","","","","","","","","",""
"3221","","","","","","","","","","","","","","","","","","","51.2599983215332","51.2599983215332","51.2599983215332","","",""
"3223","","","","","","","49.119998931884766","49.119998931884766","49.119998931884766","52.060001373291016","52.060001373291016","52.060001373291016","","","","","","","","","","","",""
"3237","","","","53.9900016784668","53.9900016784668","53.9900016784668","","","","","","","","","","","","","","","","","",""
"3259","","","","","","","","","","","","","53.9900016784668","53.9900016784668","53.9900016784668","","","","","","","","",""
"3307","","","","","","","","","","","","","","","","","","","","","","55.029998779296875","55.029998779296875","55.029998779296875"
"3316","","","","","","","","","","","","","","","","54.77000045776367","54.77000045776367","54.77000045776367","","","","","",""
"3330","55.2400016784668","55.2400016784668","55.2400016784668","","","","","","","","","","","","","","","","","","","","",""
"3395","","","","","","","","","","","","","","","","","","","53.15999984741211","53.15999984741211","53.15999984741211","","",""
"3410","","","","","","","49.61000061035156","49.61000061035156","49.61000061035156","53.290000915527344","53.290000915527344","53.290000915527344","","","","","","","","","","","",""
"3416","","","","53.189998626708984","53.189998626708984","53.189998626708984","","","","","","","","","","","","","","","","","",""
"3438","","","","","","","","","","","","","53.04999923706055","53.04999923706055","53.04999923706055","","","","","","","","",""
"3481","","","","","","","","","","","","","","","","","","","","","","51.400001525878906","51.400001525878906","51.400001525878906"
"3495","","","","","","","","","","","","","","","","55.5","55.5","55.5","","","","","",""
"3509","57.939998626708984","57.939998626708984","57.939998626708984","","","","","","","","","","","","","","","","","","","","",""
"3569","","","","","","","","","","","","","","","","","","","55.189998626708984","55.189998626708984","55.189998626708984","","",""
"3595","","","","55.310001373291016","55.310001373291016","55.310001373291016","","","","","","","","","","","","","","","","","",""
"3597","","","","","","","53.11000061035156","53.11000061035156","53.11000061035156","50.09000015258789","50.09000015258789","50.09000015258789","","","","","","","","","","","",""
"3612","","","","","","","","","","","","","","","","","","","","","","50.970001220703125","50.970001220703125","50.970001220703125"
"3617","","","","","","","","","","","","","52.25","52.25","52.25","","","","","","","","",""
"3674","","","","","","","","","","","","","","","","56.540000915527344","56.540000915527344","56.540000915527344","","","","","",""
"3688","56.33000183105469","56.33000183105469","56.33000183105469","","","","","","","","","","","","","","","","","","","","",""
"3743","","","","","","","","","","","","","","","","","","","53.43000030517578","53.43000030517578","53.43000030517578","","",""
"3748","","","","","","","54.150001525878906","54.150001525878906","54.150001525878906","49.290000915527344","49.290000915527344","49.290000915527344","","","","","","","","","","","",""
"3774","","","","52.31999969482422","52.31999969482422","52.31999969482422","","","","","","","","","","","","","","","","","",""
"3781","52.70000076293945","52.70000076293945","52.70000076293945","","","","","","","","","","","","","","","","","","","","",""
"3786","","","","","","","","","","","","","","","","","","","","","","50.68000030517578","50.68000030517578","50.68000030517578"
