"Step","Group: text10-vision100 - evaluation/blimp/island_effects","Group: text10-vision100 - evaluation/blimp/island_effects__MIN","Group: text10-vision100 - evaluation/blimp/island_effects__MAX","Group: text1-vision100 - evaluation/blimp/island_effects","Group: text1-vision100 - evaluation/blimp/island_effects__MIN","Group: text1-vision100 - evaluation/blimp/island_effects__MAX","Group: text1-vision10 - evaluation/blimp/island_effects","Group: text1-vision10 - evaluation/blimp/island_effects__MIN","Group: text1-vision10 - evaluation/blimp/island_effects__MAX","Group: text10-vision10 - evaluation/blimp/island_effects","Group: text10-vision10 - evaluation/blimp/island_effects__MIN","Group: text10-vision10 - evaluation/blimp/island_effects__MAX","Group: text1-vision1 - evaluation/blimp/island_effects","Group: text1-vision1 - evaluation/blimp/island_effects__MIN","Group: text1-vision1 - evaluation/blimp/island_effects__MAX","Group: text10-vision1 - evaluation/blimp/island_effects","Group: text10-vision1 - evaluation/blimp/island_effects__MIN","Group: text10-vision1 - evaluation/blimp/island_effects__MAX","Group: text10-vision0 - evaluation/blimp/island_effects","Group: text10-vision0 - evaluation/blimp/island_effects__MIN","Group: text10-vision0 - evaluation/blimp/island_effects__MAX","Group: text1-vision0 - evaluation/blimp/island_effects","Group: text1-vision0 - evaluation/blimp/island_effects__MIN","Group: text1-vision0 - evaluation/blimp/island_effects__MAX"
"4841","","","","","","","","","","","","","","","","48.689998626708984","48.689998626708984","48.689998626708984","","","","","",""
"4855","","","","","","","","","","43.5","43.5","43.5","","","","","","","","","","","",""
"4875","","","","","","","","","","","","","","","","","","","40.43000030517578","40.43000030517578","40.43000030517578","","",""
"4941","41.290000915527344","41.290000915527344","41.290000915527344","","","","","","","","","","","","","","","","","","","","",""
"4949","","","","40.810001373291016","40.810001373291016","40.810001373291016","35.5","35.5","35.5","","","","","","","","","","","","","","",""
"4961","","","","","","","","","","","","","","","","","","","","","","44.72999954223633","44.72999954223633","44.72999954223633"
"4963","","","","","","","","","","","","","39.38999938964844","39.38999938964844","39.38999938964844","","","","","","","","",""
"5020","","","","","","","","","","","","","","","","48.650001525878906","48.650001525878906","48.650001525878906","","","","","",""
"5034","","","","","","","","","","45.290000915527344","45.290000915527344","45.290000915527344","","","","","","","","","","","",""
"5049","","","","","","","","","","","","","","","","","","","38.56999969482422","38.56999969482422","38.56999969482422","","",""
"5120","42.29999923706055","42.29999923706055","42.29999923706055","","","","","","","","","","","","","","","","","","","","",""
"5127","","","","","","","","","","44.36000061035156","44.36000061035156","44.36000061035156","","","","","","","","","","","",""
"5135","","","","","","","","","","","","","","","","","","","","","","45.630001068115234","45.630001068115234","45.630001068115234"
"5136","","","","41.369998931884766","41.369998931884766","41.369998931884766","39.0099983215332","39.0099983215332","39.0099983215332","","","","","","","","","","","","","","",""
"5137","","","","","","","","","","","","","","","","","","","","","","45.630001068115234","45.630001068115234","45.630001068115234"
"5142","","","","","","","","","","","","","39.5","39.5","39.5","","","","","","","","",""
"5199","","","","","","","","","","","","","","","","46.11000061035156","46.11000061035156","46.11000061035156","","","","","",""
